City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
209,sikasso,10.9167,-7.0,27.53,68,52,3.79,ML,1684448989
210,linkou,45.3,130.2833,13.67,54,5,1.19,CN,1684448989
211,panacan,9.2463,118.4082,27.12,78,100,1.33,PH,1684448989
212,rodolfo sanchez taboada,31.7167,-116.5667,18.94,70,93,0.89,MX,1684448989
213,cabo san lucas,22.8909,-109.9124,28.67,50,20,8.23,MX,1684448989
214,at taj,24.2049,23.2857,23.94,17,4,4.61,LY,1684448989
215,fortaleza,-3.7227,-38.5247,29.07,74,0,4.63,BR,1684448745
216,papatowai,-46.5619,169.4708,10.41,91,100,2.5,NZ,1684448780
217,port macquarie,-31.4333,152.9167,12.16,71,8,5.14,AU,1684448906
218,weno,7.4515,151.8468,25.93,92,100,7.98,FM,1684448990
219,abepura,-2.6333,140.5833,24.45,88,40,2.57,ID,1684448990
220,elgin,42.0373,-88.2812,24.89,40,0,4.63,US,1684448787
221,bayganin,48.6947,55.8742,13.71,68,79,3.03,KZ,1684448990
222,kodiak,57.79,-152.4072,8.73,61,100,7.2,US,1684448990
223,yarmouth,41.7057,-70.2286,12.86,48,0,5.66,US,1684448990
224,zemio,5.0314,25.1361,21.56,88,77,1.28,CF,1684448801
225,prieska,-29.6641,22.7474,8.22,79,21,2.77,ZA,1684448990
226,ingeniero jacobacci,-41.3427,-69.5448,8.51,58,10,9.64,AR,1684448991
227,andergrove,-21.0833,149.1833,18.14,51,1,3.99,AU,1684448991
228,pando,-34.7167,-55.95,17.16,86,0,2.84,UY,1684448991
229,passo fundo,-28.2628,-52.4067,16.01,58,0,1.02,BR,1684448964
230,mugia,43.1041,-9.2179,15.65,78,45,10.45,ES,1684448991
231,st. johns,47.5649,-52.7093,6.1,87,75,8.23,CA,1684448934
232,anadyr,64.75,177.4833,8.28,57,0,3.0,RU,1684448991
233,kitimat,54.0524,-128.6534,28.21,40,1,2.73,CA,1684448991
234,khanty-mansiysk,61.0042,69.0019,9.06,49,0,4.02,RU,1684448991
235,kavieng,-2.5744,150.7967,26.15,89,100,7.26,PG,1684448991
236,arraial do cabo,-22.9661,-42.0278,21.92,56,20,3.09,BR,1684448991
237,madinat ash shamal,26.1293,51.2009,28.8,57,97,3.17,QA,1684448992
238,kingston,17.997,-76.7936,30.53,74,20,9.77,JM,1684448890
239,zhangye,38.9342,100.4517,15.94,21,0,5.57,CN,1684448992
240,tanout,14.9709,8.8879,33.15,29,100,3.96,NE,1684448786
241,les andelys,49.25,1.4167,10.15,92,1,3.15,FR,1684448992
242,pudasjarvi,65.3833,26.9167,3.24,90,92,1.84,FI,1684448961
243,vila velha,-20.3297,-40.2925,21.97,75,0,6.17,BR,1684448708
244,kattivakkam,13.2167,80.3167,30.05,82,11,6.4,IN,1684448992
245,herval,-32.0236,-53.3956,15.75,92,0,1.85,BR,1684448992
246,kampong speu,11.5,104.3333,25.77,84,85,2.08,KH,1684448992
247,shitanjing,39.2342,106.3439,16.94,21,0,2.03,CN,1684448993
248,smithers,54.7804,-127.1743,27.18,28,0,2.06,CA,1684448993
249,berdigestyakh,62.0989,126.6992,2.96,72,100,1.51,RU,1684448947
250,vadso,70.0744,29.7487,3.09,70,0,4.12,NO,1684448778
251,belmonte,-15.8631,-38.8828,24.18,71,100,5.18,BR,1684448993
252,santa elena de uairen,4.6167,-61.1333,22.56,88,100,1.6,VE,1684448993
253,ketchikan,55.3422,-131.6461,21.26,52,0,7.72,US,1684448993
254,praia da vitoria,38.7333,-27.0667,18.14,77,75,5.15,PT,1684448993
255,cacoal,-11.4386,-61.4472,26.07,80,4,1.39,BR,1684448993
256,atafu village,-8.5421,-172.5159,29.23,78,85,7.06,TK,1684448773
257,whakatane,-37.9585,176.9854,17.65,95,100,3.13,NZ,1684448993
258,saint-pierre,-21.3393,55.4781,23.82,83,0,2.57,RE,1684448994
259,faya-largeau,17.9257,19.1043,33.45,14,8,5.28,TD,1684448810
260,amahai,-3.3333,128.9167,30.05,75,100,3.1,ID,1684448994
261,bredasdorp,-34.5322,20.0403,13.35,68,71,0.85,ZA,1684448994
262,palikir - national government center,6.9248,158.1611,25.47,94,100,2.06,FM,1684448994
263,villa gesell,-37.2639,-56.973,14.47,85,11,3.88,AR,1684448994
264,bikenibeu village,1.3673,173.1241,30.98,70,20,4.12,KI,1684448994
265,slave lake,55.2834,-114.769,20.99,26,0,4.63,CA,1684448994
266,severo-yeniseyskiy,60.3725,93.0408,-0.9,95,100,1.18,RU,1684448994
267,woolgoolga,-30.1106,153.2007,13.93,62,1,3.68,AU,1684448994
268,salekhard,66.53,66.6019,8.88,77,99,4.97,RU,1684448995
269,aykhal,66.0,111.5,-3.99,94,92,2.22,RU,1684448978
270,moissala,8.3404,17.7663,28.98,52,86,2.48,TD,1684448995
271,chibougamau,49.9168,-74.3659,7.79,29,100,3.09,CA,1684448995
272,papao,-17.75,-149.55,29.81,80,85,7.62,PF,1684448780
273,noyabrsk,63.1994,75.4507,7.24,60,98,5.98,RU,1684448995
274,mirabad,30.4362,61.8383,29.72,11,3,2.68,AF,1684448995
275,touros,-5.1989,-35.4608,26.5,81,58,5.16,BR,1684448922
276,sao joao da barra,-21.6403,-41.0511,20.05,65,5,5.41,BR,1684448995
277,okha,53.5739,142.9478,3.04,88,100,3.88,RU,1684448995
278,aitape,-3.1374,142.3475,26.22,87,100,2.72,PG,1684448996
279,luwuk,-0.9516,122.7875,24.89,91,91,1.87,ID,1684448996
280,cidreira,-30.1811,-50.2056,18.76,84,26,5.47,BR,1684448996
281,kavaratti,10.5669,72.642,28.98,71,26,1.61,IN,1684448996
282,fisterra,42.9049,-9.2629,15.57,72,25,10.5,ES,1684448996
283,toliara,-23.35,43.6667,20.45,62,0,2.22,MG,1684448965
284,mariental,-24.6333,17.9667,13.05,51,0,5.3,NA,1684448996
285,chlumec nad cidlinou,50.1544,15.4603,11.06,77,100,3.26,CZ,1684448996
286,susuman,62.7833,148.1667,2.27,68,22,2.66,RU,1684448782
287,amos,48.5669,-78.1162,13.87,35,97,3.19,CA,1684448996
288,seydi,39.4816,62.9137,20.3,32,4,3.91,TM,1684448997
289,diu,20.7141,70.9822,26.84,85,0,5.38,IN,1684448845
290,rongelap,11.1635,166.8941,27.29,75,100,7.54,MH,1684448788
291,antonio enes,-16.2325,39.9086,23.61,80,0,2.44,MZ,1684448997
292,birzebbuga,35.8258,14.5269,18.97,82,0,6.69,MT,1684448997
293,malvan,16.0667,73.4667,27.97,81,0,5.76,IN,1684448997
294,ciudad bolivar,8.1222,-63.5497,35.67,36,90,4.63,VE,1684448846
295,st. john's,47.5649,-52.7093,6.1,87,75,8.23,CA,1684448727
296,cayeli,41.0923,40.7292,15.95,81,63,3.42,TR,1684448997
297,jonquiere,48.4165,-71.2488,13.54,42,20,3.0,CA,1684448752
298,kununurra,-15.7667,128.7333,11.99,82,2,0.0,AU,1684448998
299,fort st. john,56.2499,-120.8529,20.94,30,100,4.63,CA,1684448991
300,tossa de mar,41.7325,2.9338,15.95,11,99,4.67,ES,1684448998
301,revda,56.801,59.9303,4.81,72,66,1.58,RU,1684448998
302,badger,64.8,-147.5333,16.4,36,40,3.09,US,1684448784
303,singaparna,-7.3515,108.111,21.35,96,100,0.44,ID,1684448998
304,sao vicente,-23.9631,-46.3919,21.66,26,0,1.78,BR,1684448867
305,big spring,32.2504,-101.4787,20.25,77,75,10.29,US,1684448998
306,isangel,-19.55,169.2667,26.06,81,75,5.45,VU,1684448999
307,nogliki,51.8333,143.1667,2.85,94,100,3.56,RU,1684448999
308,tura,25.5198,90.2201,20.63,95,65,1.79,IN,1684448999
309,mossel bay,-34.1831,22.146,12.96,77,57,4.16,ZA,1684448999
310,schwabisch hall,49.1113,9.7391,12.94,66,75,4.63,DE,1684448999
311,priozersk,61.0393,30.1291,8.95,76,81,3.39,RU,1684448999
312,kerikeri,-35.2268,173.9474,18.28,95,32,1.34,NZ,1684448999
313,sao paulo de olivenca,-3.3783,-68.8725,27.32,86,97,0.2,BR,1684448999
314,mogoytuy,51.2833,114.9167,10.23,69,100,8.09,RU,1684448999
315,mendefera,14.8872,38.8153,21.01,57,1,0.8,ER,1684448999
316,mount pearl,47.5166,-52.7813,5.64,86,75,8.23,CA,1684448798
317,lorengau,-2.0226,147.2712,26.86,84,100,5.34,PG,1684448839
318,saint-philippe,-21.3585,55.7679,23.77,82,21,2.6,RE,1684449000
319,bordj zemoura,36.2746,4.8567,9.73,82,97,2.43,DZ,1684449000
320,jayapura,-2.5333,140.7,24.66,94,100,3.09,ID,1684448787
321,kapa'a,22.0752,-159.319,23.18,89,100,4.63,US,1684449001
322,vanimo,-2.6741,141.3028,26.33,88,100,3.93,PG,1684449001
323,tazovsky,67.4667,78.7,2.06,100,100,4.17,RU,1684449001
324,waynesville,35.4887,-82.9887,18.17,85,99,0.89,US,1684448983
325,hameenlinna,60.996,24.4643,7.3,85,61,1.92,FI,1684449002
326,brownsville,25.9018,-97.4975,30.61,72,40,6.17,US,1684448930
327,padang,-0.9492,100.3543,25.03,86,100,1.39,ID,1684449002
328,minas de marcona,-15.2119,-75.1103,16.57,75,5,6.79,PE,1684448790
329,khon buri,14.5254,102.2459,27.06,75,100,2.18,TH,1684449002
330,vicuna,-30.0319,-70.7081,22.09,60,7,0.61,CL,1684449003
331,colonia menno,-22.3667,-59.8167,26.27,52,100,1.6,PY,1684449003
332,dwarka,22.2394,68.9678,27.45,82,9,4.06,IN,1684449003
333,flying fish cove,-10.4217,105.6791,25.82,83,100,3.6,CX,1684448974
334,ribeira brava,32.65,-17.0667,18.4,49,25,3.61,PT,1684448999
335,badiyah,22.45,58.8,30.67,47,28,2.67,OM,1684449004
336,la ronge,55.1001,-105.2842,17.12,23,0,3.09,CA,1684449004
337,ecublens,46.529,6.5626,12.21,89,87,4.61,CH,1684449004
338,general acha,-37.377,-64.6043,14.47,40,54,3.24,AR,1684449004
339,omaruru,-21.4333,15.9333,12.03,61,0,1.81,NA,1684449005
340,yaremche,48.4583,24.5519,9.74,96,100,0.34,UA,1684449005
341,gemena,3.25,19.7667,22.91,89,97,0.64,CD,1684449005
342,basoko,1.2391,23.616,22.97,85,20,1.22,CD,1684449005
343,bicester,51.9,-1.1536,15.06,76,0,2.06,GB,1684448999
344,alaca,40.1683,34.8425,11.3,86,71,0.94,TR,1684449006
345,franklin,39.9667,-83.0166,24.62,39,0,2.57,US,1684449006
346,lichinga,-13.3128,35.2406,14.43,74,15,2.32,MZ,1684449006
347,kuala tungkal,-0.8167,103.4667,24.18,94,100,2.36,ID,1684449006
348,east london,-33.0153,27.9116,14.24,76,15,5.84,ZA,1684449006
349,port douglas,-16.4833,145.4667,22.73,63,70,3.14,AU,1684449007
